DateId,Date,Day,Month,Year,Quarter
1,2000-11-01,01,11,2000,4
2,2001-03-01,01,03,2001,1
3,2001-04-01,01,04,2001,2
4,2001-10-01,01,10,2001,4
5,2001-11-01,01,11,2001,4
6,2002-01-01,01,01,2002,1
7,2002-03-01,01,03,2002,1
8,2002-06-01,01,06,2002,2
9,2002-07-01,01,07,2002,3
10,2002-09-01,01,09,2002,3
11,2002-10-01,01,10,2002,4
12,2002-11-01,01,11,2002,4
13,2002-12-01,01,12,2002,4
14,2003-01-01,01,01,2003,1
15,2003-02-01,01,02,2003,1
16,2003-03-01,01,03,2003,1
17,2003-04-01,01,04,2003,2
18,2003-05-01,01,05,2003,2
19,2003-06-01,01,06,2003,2
20,2003-07-01,01,07,2003,3
21,2003-08-01,01,08,2003,3
22,2003-09-01,01,09,2003,3
23,2003-10-01,01,10,2003,4
24,2003-11-01,01,11,2003,4
25,2003-12-01,01,12,2003,4
26,2004-01-01,01,01,2004,1
27,2004-02-01,01,02,2004,1
28,2004-03-01,01,03,2004,1
29,2004-04-01,01,04,2004,2
30,2004-05-01,01,05,2004,2
31,2004-06-01,01,06,2004,2
32,2004-07-01,01,07,2004,3
33,2004-08-01,01,08,2004,3
34,2004-09-01,01,09,2004,3
35,2004-10-01,01,10,2004,4
36,2004-11-01,01,11,2004,4
37,2004-12-01,01,12,2004,4
38,2005-01-01,01,01,2005,1
39,2005-02-01,01,02,2005,1
40,2005-03-01,01,03,2005,1
41,2005-04-01,01,04,2005,2
42,2005-05-01,01,05,2005,2
43,2005-06-01,01,06,2005,2
44,2005-07-01,01,07,2005,3
45,2005-08-01,01,08,2005,3
46,2005-09-01,01,09,2005,3
47,2005-10-01,01,10,2005,4
48,2005-11-01,01,11,2005,4
49,2005-12-01,01,12,2005,4
50,2006-01-01,01,01,2006,1
51,2006-02-01,01,02,2006,1
52,2006-03-01,01,03,2006,1
53,2006-04-01,01,04,2006,2
54,2006-05-01,01,05,2006,2
55,2006-06-01,01,06,2006,2
56,2006-07-01,01,07,2006,3
57,2006-08-01,01,08,2006,3
58,2006-09-01,01,09,2006,3
59,2006-10-01,01,10,2006,4
60,2006-11-01,01,11,2006,4
61,2006-12-01,01,12,2006,4
62,2007-01-01,01,01,2007,1
63,2007-02-01,01,02,2007,1
64,2007-03-01,01,03,2007,1
65,2007-04-01,01,04,2007,2
66,2007-05-01,01,05,2007,2
67,2007-06-01,01,06,2007,2
68,2007-07-01,01,07,2007,3
69,2007-08-01,01,08,2007,3
70,2007-09-01,01,09,2007,3
71,2007-10-01,01,10,2007,4
72,2007-11-01,01,11,2007,4
73,2007-12-01,01,12,2007,4
74,2008-01-01,01,01,2008,1
75,2008-02-01,01,02,2008,1
76,2008-03-01,01,03,2008,1
77,2008-04-01,01,04,2008,2
78,2008-05-01,01,05,2008,2
79,2008-06-01,01,06,2008,2
80,2008-07-01,01,07,2008,3
81,2008-08-01,01,08,2008,3
82,2008-09-01,01,09,2008,3
83,2008-10-01,01,10,2008,4
84,2008-11-01,01,11,2008,4
85,2008-12-01,01,12,2008,4
86,2009-01-01,01,01,2009,1
87,2009-02-01,01,02,2009,1
88,2009-03-01,01,03,2009,1
89,2009-04-01,01,04,2009,2
90,2009-05-01,01,05,2009,2
91,2009-06-01,01,06,2009,2
92,2009-07-01,01,07,2009,3
93,2009-08-01,01,08,2009,3
94,2009-09-01,01,09,2009,3
95,2009-10-01,01,10,2009,4
96,2009-11-01,01,11,2009,4
97,2009-12-01,01,12,2009,4
98,2010-01-01,01,01,2010,1
99,2010-02-01,01,02,2010,1
100,2010-03-01,01,03,2010,1
101,2010-04-01,01,04,2010,2
102,2010-05-01,01,05,2010,2
103,2010-06-01,01,06,2010,2
104,2010-07-01,01,07,2010,3
105,2010-08-01,01,08,2010,3
106,2010-09-01,01,09,2010,3
107,2010-10-01,01,10,2010,4
108,2010-11-01,01,11,2010,4
109,2010-12-01,01,12,2010,4
110,2011-01-01,01,01,2011,1
111,2011-02-01,01,02,2011,1
