Region,GeoId,CountryName,Continent
mecklenburg-vorpommern,de-26,Germany,Europe
south-east usa,us-62,United States,America
connaught,ie-14,Ireland,Europe
north italy,it-36,Italy,Europe
bavaria,de-6,Germany,Europe
brandenburg,de-8,Germany,Europe
northern island-northern,nz-42,New Zealand,Oceania
lower saxony,de-25,Germany,Europe
north west usa,us-40,United States,America
castilla,es-12,Spain,Europe
north west england,uk-38,United Kingdom,Europe
munster,ie-29,Ireland,Europe
north east england,uk-31,United Kingdom,Europe
saxony,de-50,Germany,Europe
vascongadas,es-69,Spain,Europe
north west france,fr-39,France,Europe
andalucia,es-1,Spain,Europe
south island-southern,nz-58,New Zealand,Oceania
leinster,ie-23,Ireland,Europe
atlantic provinces,ca-4,Canada,America
berlin,de-7,Germany,Europe
north rhine-westphalla,de-37,Germany,Europe
hamburg,de-19,Germany,Europe
center italy,it-13,Italy,Europe
galicia,es-18,Spain,Europe
aragon,es-2,Spain,Europe
ulster,ie-67,Ireland,Europe
upland france,fr-68,France,Europe
asturleon,es-3,Spain,Europe
schleswig-holstein,de-52,Germany,Europe
quebec,ca-46,Canada,America
south west england,uk-60,United Kingdom,Europe
scotland,uk-53,United Kingdom,Europe
london,uk-24,United Kingdom,Europe
wales,uk-71,United Kingdom,Europe
wallonia,be-72,Belgium,Europe
tasmania,au-64,Australia,Oceania
british columbia,ca-10,Canada,America
east midlands,uk-16,United Kingdom,Europe
south italy,it-59,Italy,Europe
rhineland-palatinate,de-48,Germany,Europe
mid-west usa,us-28,United States,America
saxony-anhalt,de-51,Germany,Europe
baden-wuttemberg,de-5,Germany,Europe
victoria,au-70,Australia,Oceania
south west usa,us-61,United States,America
mid-atalntic,us-27,United States,America
north east france,fr-32,France,Europe
bremen,de-9,Germany,Europe
north island-central east,nz-33,New Zealand,Oceania
saarland,de-49,Germany,Europe
west midlands,uk-73,United Kingdom,Europe
hessen,de-21,Germany,Europe
heart of france,fr-20,France,Europe
ontario,ca-44,Canada,America
queensland,au-47,Australia,Oceania
flanders,be-17,Belgium,Europe
east england,uk-15,United Kingdom,Europe
new south wales,au-30,Australia,Oceania
the north,ca-65,Canada,America
south australia,au-54,Australia,Oceania
yorkshire,uk-76,United Kingdom,Europe
western australia,au-75,Australia,Oceania
south east england,uk-55,United Kingdom,Europe
northern territory,au-43,Australia,Oceania
brussels,be-11,Belgium,Europe
north-east usa,us-41,United States,America
le midi france,fr-22,France,Europe
thuringia,de-66,Germany,Europe
prairie provinces,ca-45,Canada,America
west usa,us-74,United States,America
south island-central,nz-57,New Zealand,Oceania
south island northern,nz-56,New Zealand,Oceania
southwest france,fr-63,France,Europe
north island-central west,nz-34,New Zealand,Oceania
north island-southern,nz-35,New Zealand,Oceania
