GroupId,QuizId,OrganizationId,SchemeOfWorkId
3833,15391,3833-15391-8409,8409
5906,15391,5906-15391-8409,8409
10608,15391,10608-15391-8413,8413
10883,15391,10883-15391-8408,8408
8414,15391,8414-15391-8408,8408
8721,15391,8721-15391-8409,8409
11684,15391,11684-15391-8408,8408
989,15391,989-15391-8413,8413
10708,15391,10708-15391-8413,8413
58,15391,58-15391-8413,8413
5890,15391,5890-15391-8408,8408
7816,15391,7816-15391-8413,8413
1868,15391,1868-15391-8399,8399
149,15391,149-15391-8408,8408
6206,15391,6206-15391-8408,8408
5026,15391,5026-15391-8408,8408
2159,4907,2159-4907-8413,8413
4207,4907,4207-4907-8413,8413
2493,4907,2493-4907-8413,8413
11355,6722,11355-6722-8408,8408
9729,6722,9729-6722-8399,8399
4584,6722,4584-6722-8399,8399
4570,6722,4570-6722-8399,8399
5262,4907,5262-4907-8413,8413
8414,6722,8414-6722-8408,8408
6480,6722,6480-6722-8399,8399
7174,4907,7174-4907-8413,8413
4166,4907,4166-4907-8413,8413
482,4907,482-4907-8413,8413
6697,4907,6697-4907-8413,8413
8674,4907,8674-4907-8413,8413
10224,6722,10224-6722-8408,8408
9168,4907,9168-4907-8413,8413
11684,6722,11684-6722-8408,8408
6010,6722,6010-6722-8399,8399
5885,4907,5885-4907-8413,8413
3371,6722,3371-6722-8399,8399
5981,4907,5981-4907-8413,8413
11581,4907,11581-4907-8413,8413
11076,4907,11076-4907-8413,8413
9190,6722,9190-6722-8399,8399
4611,4907,4611-4907-8413,8413
11658,6722,11658-6722-8408,8408
11509,6722,11509-6722-8408,8408
5026,6722,5026-6722-8408,8408
11684,7207,11684-7207-8400,8400
11355,7207,11355-7207-8399,8399
3326,7207,3326-7207-8399,8399
1836,7207,1836-7207-8400,8400
8721,7207,8721-7207-8400,8400
8414,7207,8414-7207-8400,8400
9073,7207,9073-7207-8400,8400
8411,7207,8411-7207-8399,8399
11658,7207,11658-7207-8400,8400
1797,7207,1797-7207-8399,8399
10224,7207,10224-7207-8400,8400
11669,7207,11669-7207-8399,8399
4294,7207,4294-7207-8399,8399
6480,7207,6480-7207-8399,8399
10934,7207,10934-7207-8400,8400
11509,7207,11509-7207-8400,8400
8613,7207,8613-7207-8399,8399
6206,7207,6206-7207-8399,8399
3247,7207,3247-7207-8400,8400
7125,7207,7125-7207-8400,8400
6822,16161,6822-16161-8400,8400
11684,16161,11684-16161-8400,8400
11355,16161,11355-16161-8400,8400
8414,16161,8414-16161-8400,8400
2261,16161,2261-16161-8400,8400
11339,16161,11339-16161-8400,8400
9073,16161,9073-16161-8400,8400
2308,16161,2308-16161-8400,8400
11669,16161,11669-16161-8399,8399
4584,16161,4584-16161-8400,8400
6010,16161,6010-16161-8400,8400
9729,16161,9729-16161-8400,8400
4570,16161,4570-16161-8400,8400
3326,16161,3326-16161-8400,8400
6480,16161,6480-16161-8400,8400
8411,16161,8411-16161-8399,8399
3337,16161,3337-16161-8400,8400
9190,16161,9190-16161-8400,8400
1641,16161,1641-16161-8400,8400
6206,16161,6206-16161-8400,8400
298,16161,298-16161-8400,8400
5026,16161,5026-16161-8400,8400
10883,6722,10883-6722-8408,8408
7293,6722,7293-6722-8408,8408
518,6722,518-6722-8399,8399
7303,6722,7303-6722-8399,8399
2308,6722,2308-6722-8399,8399
11581,10844,11581-10844-8412,8412
10558,10844,10558-10844-8412,8412
11241,10844,11241-10844-8412,8412
10877,10844,10877-10844-8412,8412
8674,10844,8674-10844-8412,8412
10937,10844,10937-10844-8409,8409
11740,10844,11740-10844-8412,8412
482,10844,482-10844-8412,8412
3808,10844,3808-10844-8409,8409
11076,10844,11076-10844-8412,8412
7234,10844,7234-10844-8409,8409
5404,10844,5404-10844-8412,8412
2159,10844,2159-10844-8412,8412
9824,10844,9824-10844-8409,8409
5262,10844,5262-10844-8412,8412
5981,10844,5981-10844-8412,8412
7821,10844,7821-10844-8412,8412
10589,10844,10589-10844-8412,8412
6336,10844,6336-10844-8412,8412
7869,10844,7869-10844-8409,8409
10790,10844,10790-10844-8409,8409
5906,10844,5906-10844-8409,8409
3115,10844,3115-10844-8412,8412
8710,10844,8710-10844-8409,8409
5302,10844,5302-10844-8409,8409
3704,10844,3704-10844-8409,8409
5885,10844,5885-10844-8412,8412
125,10844,125-10844-8409,8409
8685,10844,8685-10844-8409,8409
7303,16161,7303-16161-8399,8399
2429,10844,2429-10844-8412,8412
1797,16161,1797-16161-8400,8400
1605,10844,1605-10844-8409,8409
7092,10844,7092-10844-8409,8409
2936,10844,2936-10844-8412,8412
6813,10844,6813-10844-8409,8409
3661,10844,3661-10844-8409,8409
7465,16161,7465-16161-8400,8400
10866,16161,10866-16161-8400,8400
4207,6729,4207-6729-8412,8412
1605,6729,1605-6729-8409,8409
10558,6729,10558-6729-8412,8412
5437,6729,5437-6729-8409,8409
11241,6729,11241-6729-8412,8412
