UserId,Gender,GeoId,DateOfBirth,DateId
17397,1,de-26,2005-07-01,44
95904,2,us-62,2004-10-01,35
35717,1,ie-14,2004-07-01,32
67433,2,it-36,2004-03-01,28
90547,1,de-6,2003-11-01,24
17274,2,de-8,2003-12-01,25
52103,2,nz-42,2004-02-01,27
20895,2,de-25,2004-03-01,28
36282,2,us-40,2005-05-01,42
75390,1,es-12,2004-01-01,26
110588,2,uk-38,2003-09-01,22
101341,1,ie-29,2004-04-01,29
51816,1,uk-31,2002-11-01,12
25796,2,de-50,2004-06-01,31
51463,2,de-26,2004-08-01,33
62084,2,es-69,2004-04-01,29
24191,1,fr-39,2003-09-01,22
42267,2,es-1,2005-03-01,40
61580,1,nz-58,2004-07-01,32
868,2,ie-23,2005-03-01,40
95519,1,ca-4,2004-09-01,34
94587,1,de-7,2004-12-01,37
114938,1,de-37,2003-02-01,15
20772,1,de-19,2005-03-01,40
111357,2,it-13,2005-08-01,45
105942,1,es-18,2005-01-01,38
89045,1,es-2,2002-09-01,10
109993,1,ie-67,2003-11-01,24
110402,2,de-7,2004-03-01,28
29771,2,fr-68,2004-04-01,29
58289,2,es-3,2004-05-01,30
65920,2,de-52,2005-06-01,43
79095,2,ca-46,2004-12-01,37
115221,1,uk-60,2005-04-01,41
46514,2,uk-53,2003-01-01,14
23838,2,uk-60,2005-08-01,45
86212,1,es-12,2003-09-01,22
74172,1,es-18,2004-09-01,34
15107,2,de-52,2004-04-01,29
3118,2,uk-24,2005-01-01,38
118099,1,de-25,2003-12-01,25
110454,2,es-2,2004-01-01,26
89441,2,uk-71,2003-10-01,23
51768,2,es-12,2004-09-01,34
38886,1,be-72,2004-07-01,32
31491,1,es-1,2003-10-01,23
7403,1,au-64,2005-08-01,45
14017,2,uk-24,2005-06-01,43
58689,1,ca-10,2005-05-01,42
68308,2,es-2,2003-11-01,24
79189,2,de-6,2005-04-01,41
11716,1,de-7,2003-10-01,23
43405,2,ie-23,2004-03-01,28
89908,1,be-72,2005-07-01,44
15120,1,uk-16,2004-12-01,37
47887,2,it-59,2003-09-01,22
34400,1,de-48,2003-10-01,23
26439,2,nz-58,2005-03-01,40
49472,2,de-50,2005-07-01,44
47629,2,de-19,2005-06-01,43
10010,1,us-28,2004-02-01,27
92222,2,us-62,2004-05-01,30
113435,2,de-6,2003-10-01,23
10401,2,de-51,2004-04-01,29
26604,2,de-5,2004-09-01,34
86236,1,au-70,2005-05-01,42
63822,2,uk-38,2004-11-01,36
92030,1,de-5,2004-07-01,32
26951,1,it-13,2005-06-01,43
28330,2,es-1,2004-05-01,30
44848,2,us-61,2005-03-01,40
70248,1,uk-38,2004-10-01,35
61670,2,it-13,2003-10-01,23
66841,1,us-27,2005-08-01,45
75849,2,fr-32,2004-07-01,32
86949,1,es-3,2005-08-01,45
37970,2,de-9,2005-01-01,38
8383,2,de-5,2004-09-01,34
22268,2,it-36,2004-08-01,33
111558,1,ie-14,2004-08-01,33
3684,2,ie-67,2004-11-01,36
102487,1,de-51,2004-04-01,29
92512,1,nz-33,2003-10-01,23
27866,1,de-25,2004-09-01,34
61163,2,uk-16,2005-04-01,41
66556,2,de-19,2004-02-01,27
27812,2,it-36,2003-11-01,24
98925,1,uk-31,2004-07-01,32
71955,2,fr-32,2005-01-01,38
8390,2,uk-71,2004-08-01,33
15332,2,es-3,2004-01-01,26
71788,1,uk-24,2004-06-01,31
21917,1,ie-14,2004-11-01,36
113485,2,it-13,2003-09-01,22
48065,1,uk-38,2004-11-01,36
9061,1,de-37,2004-07-01,32
96080,2,nz-58,2005-05-01,42
59072,1,de-48,2005-04-01,41
67797,1,be-72,2005-06-01,43
97595,1,uk-16,2004-07-01,32
27349,2,de-49,2004-02-01,27
257,1,uk-73,2004-04-01,29
18982,2,es-2,2004-10-01,35
60296,2,de-26,2004-09-01,34
81562,2,de-9,2005-06-01,43
88388,1,ca-4,2004-04-01,29
64331,1,de-5,2004-09-01,34
11028,1,it-13,2005-05-01,42
49698,2,it-36,2005-01-01,38
94882,2,de-21,2004-11-01,36
35669,1,fr-20,2004-08-01,33
74282,2,de-51,2004-04-01,29
30350,2,uk-38,2003-12-01,25
62630,1,de-26,2004-02-01,27
35390,2,nz-58,2005-02-01,39
105783,2,ca-44,2004-03-01,28
110212,1,au-70,2003-11-01,24
94216,1,it-59,2004-11-01,36
16713,1,es-12,2004-01-01,26
21119,2,de-52,2004-03-01,28
29541,2,de-5,2004-02-01,27
66045,2,us-40,2004-07-01,32
35460,2,de-8,2004-01-01,26
24887,1,es-1,2004-06-01,31
331,2,de-19,2004-04-01,29
1458,2,es-3,2004-03-01,28
39413,1,de-21,2004-04-01,29
43979,2,es-18,2004-01-01,26
57869,1,uk-24,2006-08-01,57
81214,2,es-2,2005-09-01,46
1871,2,ca-10,2004-05-01,30
52053,2,uk-16,2006-02-01,51
109694,2,de-7,2006-08-01,57
8982,1,uk-73,2006-07-01,56
42735,1,de-6,2004-08-01,33
64991,2,au-47,2006-01-01,50
100227,2,uk-38,2006-08-01,57
50993,2,de-9,2006-05-01,54
10538,2,uk-16,2006-03-01,52
5575,1,be-17,2005-05-01,42
29633,2,it-13,2003-09-01,22
113059,1,de-25,2006-05-01,54
87730,1,uk-15,2004-06-01,31
12653,2,us-28,2004-01-01,26
30736,2,es-2,2003-12-01,25
20316,1,de-9,2004-05-01,30
94785,1,de-52,2004-01-01,26
85217,1,uk-71,2005-07-01,44
7049,2,au-64,2004-05-01,30
22319,2,ie-14,2006-03-01,52
4314,2,uk-24,2004-06-01,31
90576,1,de-19,2004-09-01,34
67409,1,de-49,2006-06-01,55
3533,2,de-7,2003-10-01,23
98258,1,de-25,2004-02-01,27
27646,1,au-30,2005-08-01,45
81551,1,es-3,2005-01-01,38
112040,1,de-8,2006-08-01,57
49874,1,es-18,2003-12-01,25
46345,1,uk-15,2006-04-01,53
42289,2,es-1,2005-02-01,39
32886,2,de-8,2003-09-01,22
101807,2,fr-68,2006-02-01,51
111085,2,de-52,2004-08-01,33
39405,2,fr-20,2006-04-01,53
104381,1,de-5,2005-07-01,44
42944,2,uk-73,2006-08-01,57
109449,1,nz-58,2005-12-01,49
18149,1,de-50,2005-11-01,48
78402,1,uk-53,2006-08-01,57
87568,1,uk-60,2006-08-01,57
61465,1,es-1,2006-06-01,55
8283,1,de-51,2004-03-01,28
110445,1,de-26,2004-08-01,33
58858,2,it-59,2006-02-01,51
96277,1,fr-68,2005-05-01,42
31992,2,de-7,2006-06-01,55
48262,1,de-52,2005-10-01,47
70698,2,it-13,2003-09-01,22
43427,1,ca-65,2005-05-01,42
118066,1,ca-65,2006-08-01,57
8829,1,uk-73,2005-12-01,49
31326,1,uk-31,2004-03-01,28
52807,1,au-54,2004-06-01,31
10435,1,ie-23,2006-01-01,50
111054,2,ie-23,2005-07-01,44
100746,2,uk-60,2006-04-01,53
12322,1,uk-71,2006-07-01,56
46127,1,ie-23,2004-12-01,37
24215,1,uk-16,2006-04-01,53
110821,2,de-6,2004-10-01,35
69015,1,uk-38,2005-01-01,38
50035,1,es-2,2004-12-01,37
109387,1,fr-68,2005-02-01,39
60919,2,de-48,2004-11-01,36
40873,2,es-69,2004-10-01,35
48443,2,de-19,2003-03-01,16
1229,1,de-50,2004-01-01,26
74476,2,be-72,2004-01-01,26
102681,2,uk-15,2004-05-01,30
60078,2,uk-73,2003-09-01,22
30056,2,de-51,2003-11-01,24
109277,2,de-52,2004-02-01,27
42741,2,fr-68,2003-11-01,24
33589,2,uk-24,2003-12-01,25
86578,2,es-18,2004-05-01,30
53611,2,de-25,2005-08-01,45
118832,2,uk-71,2004-06-01,31
69440,2,de-49,2004-07-01,32
92563,1,uk-76,2003-11-01,24
77890,1,ie-14,2004-05-01,30
20863,1,au-75,2004-05-01,30
111804,1,uk-55,2003-12-01,25
110999,2,de-9,2004-01-01,26
9208,1,it-13,2004-02-01,27
50765,2,uk-38,2002-11-01,12
5270,1,es-12,2006-04-01,53
1413,2,uk-38,2002-12-01,13
28502,1,uk-38,2003-09-01,22
887,2,es-3,2004-07-01,32
57078,2,uk-38,2003-09-01,22
1624,1,fr-39,2003-10-01,23
118433,2,ie-67,2004-04-01,29
63188,2,es-69,2004-04-01,29
72884,2,uk-73,2004-08-01,33
27339,2,de-37,2004-01-01,26
41154,1,ca-44,2003-10-01,23
63817,1,es-3,2003-12-01,25
31333,1,us-61,2004-06-01,31
12244,2,de-25,2006-07-01,56
66312,2,uk-55,2004-02-01,27
18976,2,fr-32,2002-10-01,11
24225,1,au-54,2003-08-01,21
81055,2,de-49,2004-08-01,33
96532,2,uk-24,2004-04-01,29
112045,2,be-17,2003-11-01,24
37224,1,de-49,2003-10-01,23
107781,1,ie-14,2004-12-01,37
16399,1,uk-38,2004-08-01,33
68953,1,uk-55,2004-10-01,35
51205,1,de-7,2004-01-01,26
64518,2,ie-23,2004-05-01,30
107745,1,uk-73,2003-12-01,25
101880,2,ie-67,2004-02-01,27
57912,1,au-43,2004-08-01,33
5330,2,ca-46,2005-04-01,41
47837,1,de-50,2004-08-01,33
79419,2,es-12,2003-09-01,22
109578,1,es-1,2004-07-01,32
77064,2,it-59,2004-02-01,27
73738,1,be-11,2005-01-01,38
68749,1,de-25,2004-06-01,31
49317,1,de-25,2004-04-01,29
28548,2,ca-44,2004-03-01,28
58407,2,ie-14,2004-09-01,34
21600,1,de-37,2004-05-01,30
67902,1,us-40,2004-10-01,35
60922,1,de-49,2004-04-01,29
3995,1,us-41,2004-02-01,27
50247,2,ie-14,2004-11-01,36
24594,2,uk-73,2004-06-01,31
70392,2,de-5,2004-03-01,28
65410,1,es-12,2005-04-01,41
54591,2,uk-55,2004-09-01,34
29615,1,uk-71,2004-08-01,33
48208,1,de-49,2004-09-01,34
101534,1,de-7,2004-05-01,30
19811,1,uk-31,2004-01-01,26
62487,1,es-18,2006-02-01,51
44938,2,fr-22,2003-12-01,25
43111,2,es-69,2003-09-01,22
107041,1,uk-15,2005-08-01,45
46487,1,de-26,2004-10-01,35
118965,2,de-7,2004-12-01,37
68369,1,ie-29,2004-02-01,27
74540,1,ca-65,2006-08-01,57
487,1,es-18,2004-12-01,37
8812,2,uk-24,2003-09-01,22
96788,2,de-48,2004-02-01,27
